"Título de trazado: 10629175 CHAIHUIN"
"N.º","Fecha Tiempo, GMT-03:00","Temp, °C (LGR S/N: 10629175, SEN S/N: 10629175, LBL: Oficina Prueba)","Host conectado (LGR S/N: 10629175)","Acoplador separado (LGR S/N: 10629175)","Cambio de intervalo (LGR S/N: 10629175)","Acoplador adjunto (LGR S/N: 10629175)","Final de archivo (LGR S/N: 10629175)"
1,01/31/2018 11:33:50 AM,23.304,,,,,
2,01/31/2018 11:34:54 AM,,Registrado,,,,
3,01/31/2018 11:36:18 AM,,,Registrado,,,
4,01/31/2018 11:38:50 AM,29.490,,,Registrado,,
5,01/31/2018 11:43:50 AM,30.469,,,,,
6,01/31/2018 11:48:50 AM,25.501,,,,,
7,01/31/2018 11:53:50 AM,26.867,,,,,
8,01/31/2018 11:58:50 AM,27.186,,,,,
9,01/31/2018 12:03:50 PM,25.283,,,,,
10,01/31/2018 12:08:50 PM,27.210,,,,,
11,01/31/2018 12:13:50 PM,28.642,,,,,
12,01/31/2018 12:18:50 PM,28.642,,,,,
13,01/31/2018 12:23:50 PM,29.590,,,,,
14,01/31/2018 12:28:50 PM,30.874,,,,,
15,01/31/2018 12:33:50 PM,30.798,,,,,
16,01/31/2018 12:38:50 PM,22.274,,,,,
17,01/31/2018 12:43:50 PM,15.605,,,,,
18,01/31/2018 12:48:50 PM,10.858,,,,,
19,01/31/2018 12:53:50 PM,10.026,,,,,
20,01/31/2018 12:58:50 PM,9.657,,,,,
21,01/31/2018 01:03:50 PM,9.534,,,,,
22,01/31/2018 01:08:50 PM,9.583,,,,,
23,01/31/2018 01:13:50 PM,9.558,,,,,
24,01/31/2018 01:18:50 PM,9.534,,,,,
25,01/31/2018 01:23:50 PM,9.485,,,,,
26,01/31/2018 01:28:50 PM,9.460,,,,,
27,01/31/2018 01:33:50 PM,9.485,,,,,
28,01/31/2018 01:38:50 PM,9.509,,,,,
29,01/31/2018 01:43:50 PM,9.558,,,,,
30,01/31/2018 01:48:50 PM,9.485,,,,,
31,01/31/2018 01:53:50 PM,9.485,,,,,
32,01/31/2018 01:58:50 PM,9.460,,,,,
33,01/31/2018 02:03:50 PM,9.485,,,,,
34,01/31/2018 02:08:50 PM,9.485,,,,,
35,01/31/2018 02:13:50 PM,9.558,,,,,
36,01/31/2018 02:18:50 PM,9.534,,,,,
37,01/31/2018 02:23:50 PM,9.509,,,,,
38,01/31/2018 02:28:50 PM,9.485,,,,,
39,01/31/2018 02:33:50 PM,9.583,,,,,
40,01/31/2018 02:38:50 PM,9.632,,,,,
41,01/31/2018 02:43:50 PM,9.632,,,,,
42,01/31/2018 02:48:50 PM,9.608,,,,,
43,01/31/2018 02:53:50 PM,9.632,,,,,
44,01/31/2018 02:58:50 PM,9.632,,,,,
45,01/31/2018 03:03:50 PM,9.632,,,,,
46,01/31/2018 03:08:50 PM,9.608,,,,,
47,01/31/2018 03:13:50 PM,9.706,,,,,
48,01/31/2018 03:18:50 PM,9.805,,,,,
49,01/31/2018 03:23:50 PM,9.952,,,,,
50,01/31/2018 03:28:50 PM,10.051,,,,,
51,01/31/2018 03:33:50 PM,10.173,,,,,
52,01/31/2018 03:38:50 PM,10.173,,,,,
53,01/31/2018 03:43:50 PM,10.345,,,,,
54,01/31/2018 03:48:50 PM,10.345,,,,,
55,01/31/2018 03:53:50 PM,10.394,,,,,
56,01/31/2018 03:58:50 PM,10.345,,,,,
57,01/31/2018 04:03:50 PM,10.320,,,,,
58,01/31/2018 04:08:50 PM,10.369,,,,,
59,01/31/2018 04:13:50 PM,10.345,,,,,
60,01/31/2018 04:18:50 PM,10.345,,,,,
61,01/31/2018 04:23:50 PM,10.394,,,,,
62,01/31/2018 04:28:50 PM,10.467,,,,,
63,01/31/2018 04:33:50 PM,10.541,,,,,
64,01/31/2018 04:38:50 PM,10.565,,,,,
65,01/31/2018 04:43:50 PM,10.638,,,,,
66,01/31/2018 04:48:50 PM,10.638,,,,,
67,01/31/2018 04:53:50 PM,10.761,,,,,
68,01/31/2018 04:58:50 PM,10.883,,,,,
69,01/31/2018 05:03:50 PM,11.005,,,,,
70,01/31/2018 05:08:50 PM,10.932,,,,,
71,01/31/2018 05:13:50 PM,10.663,,,,,
72,01/31/2018 05:18:50 PM,10.443,,,,,
73,01/31/2018 05:23:50 PM,10.638,,,,,
74,01/31/2018 05:28:50 PM,10.516,,,,,
75,01/31/2018 05:33:50 PM,10.369,,,,,
76,01/31/2018 05:38:50 PM,10.565,,,,,
77,01/31/2018 05:43:50 PM,10.369,,,,,
78,01/31/2018 05:48:50 PM,10.271,,,,,
79,01/31/2018 05:53:50 PM,10.271,,,,,
80,01/31/2018 05:58:50 PM,10.345,,,,,
81,01/31/2018 06:03:50 PM,10.320,,,,,
82,01/31/2018 06:08:50 PM,10.443,,,,,
83,01/31/2018 06:13:50 PM,10.345,,,,,
84,01/31/2018 06:18:50 PM,10.320,,,,,
85,01/31/2018 06:23:50 PM,10.222,,,,,
86,01/31/2018 06:28:50 PM,10.394,,,,,
87,01/31/2018 06:33:50 PM,10.149,,,,,
88,01/31/2018 06:38:50 PM,10.100,,,,,
89,01/31/2018 06:43:50 PM,10.271,,,,,
90,01/31/2018 06:48:50 PM,10.124,,,,,
91,01/31/2018 06:53:50 PM,10.173,,,,,
92,01/31/2018 06:58:50 PM,9.977,,,,,
93,01/31/2018 07:03:50 PM,10.001,,,,,
94,01/31/2018 07:08:50 PM,9.854,,,,,
95,01/31/2018 07:13:50 PM,9.780,,,,,
96,01/31/2018 07:18:50 PM,9.829,,,,,
97,01/31/2018 07:23:50 PM,9.780,,,,,
98,01/31/2018 07:28:50 PM,9.780,,,,,
99,01/31/2018 07:33:50 PM,9.706,,,,,
100,01/31/2018 07:38:50 PM,9.657,,,,,
101,01/31/2018 07:43:50 PM,9.608,,,,,
102,01/31/2018 07:48:50 PM,9.608,,,,,
103,01/31/2018 07:53:50 PM,9.731,,,,,
104,01/31/2018 07:58:50 PM,9.756,,,,,
105,01/31/2018 08:03:50 PM,9.509,,,,,
106,01/31/2018 08:08:50 PM,9.608,,,,,
107,01/31/2018 08:13:50 PM,9.485,,,,,
108,01/31/2018 08:18:50 PM,9.509,,,,,
109,01/31/2018 08:23:50 PM,9.509,,,,,
110,01/31/2018 08:28:50 PM,9.509,,,,,
111,01/31/2018 08:33:50 PM,9.435,,,,,
112,01/31/2018 08:38:50 PM,9.657,,,,,
113,01/31/2018 08:43:50 PM,9.657,,,,,
114,01/31/2018 08:48:50 PM,9.632,,,,,
115,01/31/2018 08:53:50 PM,9.780,,,,,
116,01/31/2018 08:58:50 PM,9.534,,,,,
