"Título de trazado: 10629175 CHAIHUIN 2 REG"
"N.º","Fecha Tiempo, GMT-03:00","Temp, °C (LGR S/N: 10629175, SEN S/N: 10629175, LBL: Oficina Prueba)","Host conectado (LGR S/N: 10629175)","Acoplador separado (LGR S/N: 10629175)","Cambio de intervalo (LGR S/N: 10629175)","Acoplador adjunto (LGR S/N: 10629175)","Final de archivo (LGR S/N: 10629175)"
1,04/24/2018 12:10:24 PM,13.834,,,,,
2,04/24/2018 12:10:49 PM,,Registrado,,,,
3,04/24/2018 12:10:51 PM,,,Registrado,,,
4,04/24/2018 12:15:24 PM,14.577,,,Registrado,,
5,04/24/2018 12:20:24 PM,14.050,,,,,
6,04/24/2018 12:25:24 PM,13.449,,,,,
7,04/24/2018 12:30:24 PM,13.377,,,,,
8,04/24/2018 12:35:24 PM,13.353,,,,,
9,04/24/2018 12:40:24 PM,13.377,,,,,
10,04/24/2018 12:45:24 PM,13.377,,,,,
11,04/24/2018 12:50:24 PM,13.401,,,,,
12,04/24/2018 12:55:24 PM,13.425,,,,,
13,04/24/2018 01:00:24 PM,13.425,,,,,
14,04/24/2018 01:05:24 PM,13.449,,,,,
15,04/24/2018 01:10:24 PM,13.449,,,,,
16,04/24/2018 01:15:24 PM,13.473,,,,,
17,04/24/2018 01:20:24 PM,13.473,,,,,
18,04/24/2018 01:25:24 PM,13.522,,,,,
19,04/24/2018 01:30:24 PM,13.522,,,,,
20,04/24/2018 01:35:24 PM,13.522,,,,,
21,04/24/2018 01:40:24 PM,13.522,,,,,
22,04/24/2018 01:45:24 PM,13.522,,,,,
23,04/24/2018 01:50:24 PM,13.522,,,,,
24,04/24/2018 01:55:24 PM,13.522,,,,,
25,04/24/2018 02:00:24 PM,13.522,,,,,
26,04/24/2018 02:05:24 PM,13.522,,,,,
27,04/24/2018 02:10:24 PM,13.522,,,,,
28,04/24/2018 02:15:24 PM,13.522,,,,,
29,04/24/2018 02:20:24 PM,13.522,,,,,
30,04/24/2018 02:25:24 PM,13.522,,,,,
31,04/24/2018 02:30:24 PM,13.522,,,,,
32,04/24/2018 02:35:24 PM,13.522,,,,,
33,04/24/2018 02:40:24 PM,13.522,,,,,
34,04/24/2018 02:45:24 PM,13.522,,,,,
35,04/24/2018 02:50:24 PM,13.522,,,,,
36,04/24/2018 02:55:24 PM,13.522,,,,,
37,04/24/2018 03:00:24 PM,13.522,,,,,
38,04/24/2018 03:05:24 PM,13.522,,,,,
39,04/24/2018 03:10:24 PM,13.522,,,,,
40,04/24/2018 03:15:24 PM,13.522,,,,,
41,04/24/2018 03:20:24 PM,13.522,,,,,
42,04/24/2018 03:25:24 PM,13.522,,,,,
43,04/24/2018 03:30:24 PM,13.522,,,,,
44,04/24/2018 03:35:24 PM,13.497,,,,,
45,04/24/2018 03:40:24 PM,13.497,,,,,
46,04/24/2018 03:45:24 PM,13.497,,,,,
47,04/24/2018 03:50:24 PM,13.497,,,,,
48,04/24/2018 03:55:24 PM,13.497,,,,,
49,04/24/2018 04:00:24 PM,13.497,,,,,
50,04/24/2018 04:05:24 PM,13.497,,,,,
51,04/24/2018 04:10:24 PM,13.522,,,,,
52,04/24/2018 04:15:24 PM,13.497,,,,,
53,04/24/2018 04:20:24 PM,13.497,,,,,
54,04/24/2018 04:25:24 PM,13.497,,,,,
55,04/24/2018 04:30:24 PM,13.497,,,,,
56,04/24/2018 04:35:24 PM,13.497,,,,,
57,04/24/2018 04:40:24 PM,13.497,,,,,
58,04/24/2018 04:45:24 PM,13.522,,,,,
